Month,province,governorate,district,government,Email,speaker,president,vice-president,spokesperson,Email_file1,repression,oppression,discontent,discontent(2),Email_file2,corruption,nepotism,deal,deal(2),Email_file3,bargain,deadline,summit,bodyguard,Email_file4,stalemate,disagreement,misunderstanding,investigation,Email_file5,security measures,coalition,consensus,crackdown,Email_file6,crackdown_file7,opposition,discrimination,talks,Email_file7,negotiations,negotiations(2),direct,indirect,Email_file8,civil society,civil society(2),civil society(3),directorate,Email_file9,directorate_file10,planning,parliament,MP,Email_file10,authorit,local,council,mayor,Email_file11,MP_file12,union,union(2),union(3),Email_file12,union_file13,constitution,constitution(2),delegation,Email_file13,inspector,supporter,activist,activist(2),Email_file14,aide,policy,principle,pledge,Email_file15,pledge_file16,agreement,alliance,dialogue,Email_file16,dialogue_file17,announcement,closure,trade union,Email_file17,trade union_file18,restriction,restriction(2),restrictions,Email_file18,demonstrator,demonstrator(2),sit-in,protester,Email_file19,crime,boycott,boycott(2),boycott(3),Email_file20,Ministry of Foreign Affairs,Ministry of Defence,Ministry of Health,Ministry of Education,Email_file21,representative,election,rule,law,Email_file22,Ministry of Displacement and Migration,Ministry of Displacement and Migration(2),Ministry of Interior,Ministry of Oil,Email_file23,Ministry of Oil_file24,Ministry of Oil(2),Ministry of Justice,Ministry of Justice(2),Email_file24,Ministry of Justice_file25,Ministry of Finance,Ministry of Electricity,Ministry of Electricity(2),Email_file25,Ministry of Electricity_file26,Ministry of Water Resources,Ministry of Trade,Ministry of Industry and Minerals,Email_file26,Ministry of Industry and Minerals_file27,Ministry of Industry and Minerals(2),Ministry of Higher Education,Ministry of Higher Education(2),Email_file27,Ministry of Human Rights,Ministry of Human Rights(2),Ministry of Communications,Ministry of Communications(2),Email_file28,Ministry of Construction and Housing,Ministry of Construction and Housing(2),Ministry of Culture,Ministry of Culture(2),Email_file29,KRG,Ministry of Science and Technology,Ministry of Transportation,Ministry of Transportation(2),Email_file30,Ministry of Labour and Social Affairs,Ministry of Labour and Social Affairs(2),Ministry of Labour and Social Affairs(3),Ministry of the Environment,Email_file31,Ministry of the Environment_file32,Ministry of the Environment(2),Ministry of Planning,party,Email_file32,registration,register,register(2),administration,Email_file33,parties,parties(2),political,responsibility,Email_file34,department,judge,elections,army,Email_file35,guards,guards(2),guards(3),Email_file36,reform,protest,demonstration,demonstration(2),Email_file37,decree,resolution,resolution(2),resolution(3),Email_file38,resolution_file39,electorate,electorate(2),vote,Email_file39,voter,committee,committee(2),minister,Email_file40,ministry,official,candidate,prime minister,Email_file41
2013-08,0.0,0,0,0,100,0,0,0,0.0,100,0,0.0,0.0,0,5.0,0.0,0,0,0,100,0.0,0,0.0,0.0,100,0,0,0,0.0,100,0,0.0,0.0,0,100,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0,100,0,0,0.0,0.0,24,0,0,0,0,100,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0,0.0,0.0,100,0.0,0.0,0.0,0,100,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0,0,0.0,0,5.0,0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,91,0.0,0,0,0,40,0.0,0,0,0,14,0.0,0,0.0,0.0,14,0,0.0,0,0,100,0,0.0,0,0,100,0,0,0.0,0,1.0,0,0,0.0,0,100,0,0,0.0,0,10,0,0,0.0,0,100,0,0,0,0.0,100,0,0.0,0,0,100,0,0,0,0,100,0.0,0.0,0,0.0,100,0,0.0,0.0,0,59,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0,0,0,100,0,0,0,0,100,0,0.0,0.0,0,100,0,0,0.0,0,100
2013-09,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,32,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2013-10,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2013-11,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2013-12,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,68.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,100.0,0,0.0,0,0,28,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2014-01,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,33,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2014-02,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2014-03,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,46.0,46.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2014-04,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,15,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,36,0
2014-05,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,42.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2014-06,0.0,0,0,0,38,0,0,0,0.0,38,0,0.0,0.0,0,2.0,0.0,0,0,0,38,0.0,0,0.0,0.0,38,0,0,0,0.0,38,0,0.0,0.0,0,38,0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,38,0.0,0.0,0.0,0,38,0,0,0.0,0.0,9,0,0,0,0,38,0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,33,0.0,0.0,38,0.0,0.0,0.0,0,38,0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0,0,0.0,0,2.0,0,0.0,0.0,0.0,38,0,0.0,0.0,0.0,35,0.0,0,0,0,15,0.0,0,0,0,5,0.0,0,0.0,0.0,5,0,0.0,0,0,38,0,0.0,0,0,38,0,0,0.0,0,0.5,0,0,0.0,0,38,0,0,0.0,0,4,0,0,0.0,0,38,0,0,0,0.0,38,0,0.0,0,0,38,0,0,0,0,38,0.0,0.0,0,0.0,38,0,0.0,0.0,0,23,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0,0,0,38,0,0,0,0,38,0,0.0,0.0,0,38,0,0,0.0,0,38
2014-07,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2014-08,0.0,0,0,0,25,0,0,0,0.0,25,0,0.0,0.0,0,1.0,0.0,0,0,0,25,0.0,0,0.0,0.0,25,0,0,0,0.0,25,0,0.0,0.0,0,25,0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,25,0.0,0.0,0.0,0,25,0,0,0.0,0.0,6,0,0,0,0,25,0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0,0.0,0.0,25,0.0,0.0,0.0,0,25,0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0,0,0.0,0,1.0,0,0.0,0.0,0.0,25,0,0.0,0.0,0.0,22,0.0,0,0,0,10,0.0,0,0,0,3,0.0,0,0.0,0.0,3,0,0.0,0,0,25,0,0.0,0,0,25,0,0,0.0,0,0.5,0,0,0.0,0,25,0,0,0.0,0,3,0,0,0.0,0,25,0,0,0,0.0,25,0,0.0,0,0,25,0,0,0,0,25,0.0,0.0,0,0.0,25,0,0.0,0.0,0,15,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0,0,0,25,0,0,0,0,25,0,0.0,0.0,0,25,0,0,0.0,0,25
2014-09,0.0,0,0,0,25,0,0,0,0.0,25,0,0.0,0.0,0,1.0,0.0,0,0,0,25,0.0,0,0.0,0.0,25,0,0,0,0.0,25,0,0.0,0.0,0,25,0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,25,0.0,0.0,0.0,0,25,0,0,0.0,0.0,6,0,0,0,0,25,0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0,0.0,0.0,25,0.0,0.0,0.0,0,25,0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0,0,0.0,0,1.0,0,0.0,0.0,0.0,25,0,0.0,0.0,0.0,22,0.0,0,0,0,10,0.0,0,0,0,3,0.0,0,0.0,0.0,3,0,0.0,0,0,25,0,0.0,0,0,25,0,0,0.0,0,0.5,0,0,0.0,0,25,0,0,0.0,0,3,0,0,0.0,0,25,0,0,0,0.0,25,0,0.0,0,0,25,26,0,35,0,25,0.0,0.0,0,0.0,25,0,0.0,0.0,0,15,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0,0,0,25,0,0,0,0,25,0,0.0,0.0,0,25,0,0,0.0,0,25
2014-10,0.0,0,0,0,9,0,0,0,0.0,9,0,0.0,0.0,0,0.5,0.0,0,0,0,9,0.0,0,0.0,0.0,9,0,0,0,0.0,9,0,0.0,3.0,0,9,0,0.0,0.0,0.0,5,0.0,0.0,0.5,0.0,1,0,0.0,0.0,0.0,9,0.0,0.0,0.0,7,9,0,0,0.0,0.0,2,7,0,0,0,9,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0,0.0,0.0,9,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0,0,0.0,0,0.5,3,0.0,0.0,0.0,9,0,0.0,0.0,0.0,8,0.0,0,0,2,4,0.0,0,0,0,1,0.0,0,0.0,0.0,1,0,0.0,0,0,9,0,0.0,0,0,9,0,0,0.0,0,0.5,0,0,0.0,0,9,0,0,0.0,0,1,0,0,0.0,0,9,0,0,0,0.0,9,0,0.0,0,9,9,5,0,0,0,9,0.0,0.0,0,0.0,9,2,0.0,0.0,3,5,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0,0,0,9,0,0,0,0,9,0,0.0,0.0,4,9,4,10,0.0,0,9
2014-11,0.0,0,4,4,13,2,0,0,0.0,13,0,0.0,0.0,0,1.0,0.0,0,0,0,13,0.0,0,0.0,0.0,13,0,0,0,0.0,13,0,0.0,0.0,0,13,0,0.0,0.0,0.0,7,0.0,0.0,0.5,0.0,1,0,0.0,0.0,0.0,13,0.0,3.0,0.0,7,13,0,1,1.0,0.0,3,7,0,0,0,13,0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,3,0.0,0.0,13,0.0,0.0,0.0,3,13,3,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0,0,0.0,0,1.0,4,0.0,0.0,0.0,13,0,0.0,0.0,0.0,12,0.0,0,0,3,5,0.0,0,0,0,2,0.0,0,0.0,0.0,2,0,0.0,0,0,13,0,0.0,0,0,13,0,0,0.0,0,0.5,0,0,0.0,0,13,0,0,0.0,0,1,0,0,0.0,0,13,0,0,0,0.0,13,0,0.0,0,8,13,5,0,0,0,13,0.0,0.0,0,0.0,13,0,0.0,0.0,8,8,0.0,0.0,0.0,13,0.0,0.0,3.0,0.0,13,0.0,0,0,0,13,0,0,0,0,13,0,0.0,0.0,5,13,7,6,0.0,0,13
2014-12,0.0,0,0,4,13,0,0,0,0.0,13,0,0.0,0.0,0,1.0,0.0,0,0,0,13,0.0,0,0.0,0.0,13,0,0,0,0.0,13,0,0.0,0.0,0,13,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,13,0.0,0.0,0.0,11,13,0,1,0.0,0.0,3,11,0,0,0,13,0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0,0.0,0.0,13,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0,0,0.0,0,1.0,0,0.0,0.0,0.0,13,0,0.0,0.0,0.0,12,0.0,0,0,2,5,0.0,0,0,0,2,0.0,0,0.0,0.0,2,0,0.0,0,0,13,0,0.0,0,0,13,0,0,0.0,0,0.5,0,0,0.0,0,13,0,0,0.0,0,1,0,0,0.0,0,13,0,0,0,0.0,13,0,0.0,0,10,13,0,0,0,0,13,0.0,0.0,0,0.0,13,2,0.0,0.0,6,8,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0,0,0,13,0,0,0,0,13,0,0.0,0.0,0,13,5,6,0.0,0,13
2015-01,0.0,0,0,7,12,0,0,0,0.0,12,0,0.0,0.0,0,1.0,0.0,0,0,0,12,0.0,0,0.0,0.0,12,0,0,0,0.0,12,0,0.0,0.0,0,12,0,0.0,0.0,0.0,7,0.0,0.0,0.5,0.0,1,0,0.0,0.0,0.0,12,0.0,0.0,0.0,8,12,0,0,0.0,0.0,3,8,0,0,0,12,0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0,0.0,0.0,12,0.0,0.0,0.0,0,12,0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0,0,0.0,0,1.0,0,0.0,0.0,0.0,12,0,0.0,0.0,0.0,11,0.0,0,0,3,5,0.0,0,0,0,2,0.0,0,0.0,0.0,2,0,0.0,0,0,12,0,0.0,0,0,12,0,0,0.0,0,0.5,0,0,0.0,0,12,0,0,0.0,0,1,0,0,0.0,0,12,0,0,0,0.0,12,0,0.0,0,8,12,0,0,0,0,12,0.0,0.0,0,0.0,12,0,0.0,0.0,7,7,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0,0,0,12,0,0,0,0,12,0,0.0,0.0,0,12,5,7,0.0,0,12
2015-02,0.0,0,7,0,15,0,0,0,0.0,15,0,0.0,0.0,0,1.0,0.0,0,0,0,15,0.0,0,0.0,0.0,15,0,0,0,0.0,15,0,0.0,0.0,0,15,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,15,0.0,0.0,0.0,7,15,0,0,0.0,0.0,4,7,0,0,0,15,0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,15,0.0,0,0.0,0.0,15,0.0,0.0,0.0,0,15,0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,15,0,0,0.0,0,1.0,0,0.0,0.0,0.0,15,0,0.0,0.0,4.0,14,0.0,0,0,2,6,0.0,0,0,0,2,0.0,0,0.0,0.0,2,0,0.0,0,0,15,0,0.0,0,0,15,0,0,0.0,0,0.5,0,0,0.0,0,15,0,0,0.0,0,2,0,0,0.0,0,15,0,0,0,0.0,15,0,0.0,0,11,15,11,0,0,0,15,0.0,0.0,0,0.0,15,4,0.0,0.0,5,9,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,15,0.0,0,0,0,15,0,0,0,0,15,0,0.0,5.0,0,15,7,7,0.0,0,15
2015-03,0.0,0,0,0,11,0,0,0,0.0,11,0,0.0,0.0,0,1.0,0.0,0,0,0,11,0.0,0,0.0,0.0,11,0,0,0,0.0,11,0,0.0,0.0,0,11,0,0.0,0.0,0.0,6,0.0,0.0,0.5,0.0,1,0,0.0,0.0,0.0,11,0.0,0.0,0.0,7,11,0,1,1.0,0.0,3,7,0,0,0,11,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0,0.0,0.0,11,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0,0,0.0,0,1.0,0,0.0,0.0,0.0,11,0,0.0,0.0,6.0,10,0.0,0,0,3,4,0.0,0,0,0,1,0.0,0,0.0,0.0,1,0,0.0,0,0,11,0,0.0,0,0,11,0,0,0.0,0,0.5,0,0,0.0,0,11,1,0,0.0,0,1,0,0,0.0,0,11,0,0,0,0.0,11,0,0.0,0,9,11,11,0,0,0,11,0.0,0.0,0,0.0,11,0,3.0,0.0,5,6,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0,0,0,11,0,0,0,0,11,0,0.0,0.0,0,11,8,8,0.0,0,11
2015-04,0.0,0,5,5,11,0,0,0,0.0,11,0,0.0,0.0,0,1.0,0.0,0,0,0,11,0.0,0,0.0,0.0,11,0,0,0,0.0,11,0,0.0,0.0,0,11,0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,11,0.0,0.0,0.0,6,11,0,2,1.0,0.0,3,6,0,0,0,11,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0,0.0,0.0,11,0.0,0.0,0.0,4,11,4,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0,0,0.0,0,1.0,4,0.0,0.0,0.0,11,0,0.0,0.0,0.0,10,0.0,4,0,3,5,0.0,0,0,0,2,0.0,0,0.0,0.0,2,0,0.0,0,0,11,0,0.0,0,0,11,0,0,0.0,0,0.5,0,0,0.0,0,11,0,0,0.0,0,1,0,0,0.0,0,11,0,0,0,0.0,11,0,0.0,0,9,11,9,0,0,0,11,0.0,0.0,0,0.0,11,0,0.0,0.0,6,7,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0,0,0,11,0,0,0,0,11,0,0.0,0.0,0,11,7,8,4.0,0,11
