Month,গ্রামাঞ্চল,গ্যাস,আবহাওয়া,মরুভূমি,Email,মরুকরণ,গৃহপালিত পশু,গবাদি পশু,ভূমি,Email_file1,জমি,উর্বর,শস্য,ধান্যশস্য,Email_file2,দানা শস্য,খাদ্যশস্য,ভেড়া,উদ্যানচাষ,Email_file3,দুগ্ধজাত,দুগ্ধ খামার,হাঁস-মুরগি পালন,পোলট্রি শিল্প,Email_file4,সরঞ্জাম,উৎপাদন,সমবায়,মধু,Email_file5,মৌচাষি,কীটনাশক,প্রাণী,প্রজননকারী,Email_file6,মাছ,গম,লাঙল,যানবাহন,Email_file7,যন্ত্রপাতি,ভর্তুকি,ভর্তুকিগুলো,ভর্তুকি প্রদান করা,Email_file8,ভর্তুকি প্রদান করা_file9,প্রাকৃতিক সার,রাসায়নিক সার,সার,Email_file9,পরিবেশগত অবক্ষয়,গ্রামাঞ্চল_file10,গ্রামীন,কৃষি,Email_file10,বীজ,আলু,টমেটো,সেচ,Email_file11,ফোঁটা সেচ,ড্রিপ সেচ,কৌশল,শ্রমিক,Email_file12,চারণভূমি,পশুখাদ্য,পোকামাকড়,শুষ্ক,Email_file13,অস্থির,অনিশ্চিত,পরিচালনা,মাটি,Email_file14,জলাভূমি,উদ্ভিদ,নিকাশী,নিষ্কাশন,Email_file15,নিষ্কাশন ব্যবস্থা,মাঝারি,জৈব,ধূলা,Email_file16,ঝড়,বালি,গ্রীষ্ম,গ্রীষ্মকাল,Email_file17,গ্রীষ্মকাল_file18,শীতকাল,শীত,শরৎ,Email_file18,শরৎকাল,শরৎকাল(2),বসন্ত,বসন্তকাল,Email_file19,বসন্তকাল_file20,ভূমিকম্প,ঘূর্ণিঝড়,সাইক্লোন,Email_file20,কৃষক,খামার,তাপমাত্রা,ফসল উৎপাদন,Email_file21,ঋতু,লবণাক্ততা,যব,বার্লি,Email_file22,চাল,কাপাস,তুলা,কার্পাস,Email_file23,তুলা_file24,খেজুর,খেজুরসমূহ,সবজি,Email_file24,মানবসৃষ্ট,কৃত্রিম,দূষণ,দূষিত,Email_file25,জলবায়ু পরিবর্তন,পানি,বৃষ্টি,জলরাশি,Email_file26,বৃষ্টিপাত,মুষলধারে বৃষ্টি,অত্যাধিক বৃষ্টিপাত,ভারী বৃষ্টিপাত,Email_file27,অতিবৃষ্টি,নদী,জলাধার,ফসলহানি,Email_file28,পালক,মেষপালক,ফসলের রোগ,ফসলের ক্ষতি,Email_file29,ফসল,ফসল কাটা,খাদ্য,ক্ষেত,Email_file30,ক্ষেতসমূহ,পাহাড়ি,বর্জ্য,শহরাঞ্চল,Email_file31,প্রাকৃতিক সম্পদ,খরা,বন্যা,পরিবেশগত অবনতি,Email_file32
2014-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2014-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2014-10,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2014-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2014-12,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-02,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-03,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,48,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-07,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
2015-09,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0,7,0,0.0,0.0,0,100,0.0,0,0,0.0,3,0.0,0,0,0,100,0,0,0,0,100,0,0.0,0,0.0,100,0.0,0.0,0,0,100,0,0,0.0,0,100,0,0,0,0,100,0,0,0.0,0.0,100,0,0,0.0,0.0,33,0.0,0,0.0,0.0,100,0.0,0.0,0.0,0.0,25,0.0,0,0,65.0,100,0,0.0,0,0,100,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,3,0.0,0,0.0,0,2.0,0,0,0,0,100,0,0,0,0,100,0.0,0.0,0.0,0.0,100,0.0,0,0.0,0,19,0.0,0,0,0.0,15,0,0,0,0,100,0.0,0.0,0,0,100,0,0,0,0.0,100,0.0,0.0,0.0,0,100,0.0,0.0,0.0,0,100
2015-10,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,4,0,0.0,0.0,0,57,0.0,0,0,0.0,2,0.0,0,0,0,57,0,0,0,0,57,0,0.0,0,0.0,57,0.0,0.0,0,0,57,0,0,0.0,0,57,0,0,0,0,57,0,0,0.0,0.0,57,0,0,0.0,0.0,19,0.0,0,0.0,0.0,57,0.0,0.0,0.0,0.0,14,0.0,0,0,0.0,57,0,0.0,0,0,57,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0,1.0,0,0,0,0,57,0,0,0,0,57,0.0,0.0,0.0,0.0,57,0.0,0,0.0,0,11,0.0,0,0,0.0,9,0,0,0,0,57,0.0,0.0,0,0,57,0,0,0,0.0,57,0.0,0.0,0.0,0,57,0.0,0.0,0.0,0,57
2015-11,0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0,6,0,0.0,0.0,0,86,0.0,0,0,0.0,2,0.0,0,0,0,86,0,0,0,0,86,0,0.0,0,0.0,86,0.0,0.0,0,0,86,0,0,0.0,0,86,0,0,0,0,86,0,0,0.0,0.0,86,0,0,0.0,0.0,28,0.0,0,0.0,0.0,86,0.0,0.0,0.0,0.0,21,0.0,0,0,0.0,86,0,0.0,0,0,86,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,86,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,3,0.0,0,0.0,0,2.0,0,0,0,0,86,0,0,0,0,86,0.0,0.0,0.0,0.0,86,0.0,0,0.0,0,16,0.0,0,0,0.0,13,0,0,0,0,86,0.0,0.0,0,0,86,0,0,0,0.0,86,0.0,0.0,0.0,0,86,0.0,0.0,0.0,0,86
2015-12,0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0,6,0,0.0,0.0,0,84,0.0,0,0,0.0,2,0.0,0,0,0,84,0,0,0,0,84,0,0.0,0,0.0,84,0.0,0.0,0,0,84,0,0,0.0,0,84,0,0,0,0,84,0,0,0.0,0.0,84,0,0,0.0,0.0,28,0.0,0,0.0,0.0,84,0.0,0.0,0.0,0.0,21,0.0,0,0,0.0,84,0,0.0,0,0,84,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,84,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,3,0.0,0,0.0,0,2.0,0,0,0,0,84,0,0,0,0,84,0.0,0.0,0.0,0.0,84,0.0,0,0.0,0,16,0.0,0,0,0.0,13,0,0,0,0,84,0.0,0.0,0,0,84,0,0,0,0.0,84,0.0,0.0,0.0,0,84,0.0,0.0,0.0,0,84
2016-01,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,4,0,0.0,0.0,0,55,0.0,0,0,0.0,2,0.0,0,0,0,55,0,0,0,0,55,0,0.0,0,0.0,55,0.0,0.0,0,0,55,0,0,0.0,0,55,0,0,0,0,55,0,0,0.0,0.0,55,0,0,0.0,0.0,18,0.0,0,0.0,0.0,55,0.0,0.0,0.0,0.0,14,0.0,0,0,0.0,55,0,0.0,0,0,55,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,15,1.0,0.0,0.0,0.0,2,0.0,0,0.0,0,1.0,0,0,0,0,55,0,0,0,0,55,0.0,0.0,0.0,0.0,55,0.0,0,0.0,0,10,0.0,0,0,0.0,8,0,0,0,0,55,0.0,0.0,0,0,55,0,0,0,0.0,55,0.0,0.0,0.0,0,55,0.0,0.0,0.0,0,55
2016-02,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,3,0,0.0,0.0,0,40,0.0,0,0,0.0,1,0.0,0,0,0,40,0,0,0,0,40,0,0.0,0,0.0,40,0.0,0.0,0,0,40,0,0,0.0,0,40,0,0,0,0,40,0,0,0.0,0.0,40,0,0,0.0,0.0,13,0.0,0,0.0,0.0,40,0.0,0.0,0.0,0.0,10,0.0,0,0,0.0,40,0,0.0,0,0,40,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,1.0,0,0,0,0,40,0,0,0,0,40,0.0,0.0,0.0,0.0,40,0.0,0,0.0,0,7,0.0,0,0,0.0,6,0,0,0,0,40,0.0,0.0,0,0,40,0,0,0,0.0,40,0.0,0.0,0.0,0,40,0.0,0.0,0.0,0,40
2016-03,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,3,0,0.0,0.0,0,43,0.0,0,0,0.0,1,0.0,0,0,0,43,0,0,0,0,43,0,0.0,0,0.0,43,0.0,0.0,0,0,43,0,0,0.0,0,43,0,0,0,0,43,0,0,0.0,0.0,43,0,0,0.0,0.0,14,0.0,0,0.0,0.0,43,0.0,0.0,0.0,0.0,11,0.0,0,0,0.0,43,0,0.0,0,0,43,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,1.0,0,0,0,0,43,0,0,0,0,43,0.0,0.0,0.0,0.0,43,0.0,0,0.0,0,8,0.0,0,0,0.0,6,0,0,0,0,43,0.0,0.0,0,0,43,0,0,0,0.0,43,0.0,0.0,0.0,0,43,0.0,0.0,0.0,0,43
2016-04,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0,4,0,0.0,0.0,0,59,0.0,0,0,0.0,2,0.0,0,0,0,59,0,0,0,0,59,0,0.0,0,0.0,59,0.0,0.0,0,0,59,0,0,0.0,0,59,0,0,0,0,59,0,0,0.0,0.0,59,0,0,0.0,0.0,19,0.0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,15,0.0,0,0,0.0,59,0,0.0,0,0,59,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0,1.0,0,0,0,0,59,0,0,0,0,59,0.0,0.0,0.0,0.0,59,0.0,0,0.0,0,11,0.0,0,0,0.0,9,0,0,0,0,59,0.0,0.0,0,0,59,0,0,0,0.0,59,0.0,0.0,0.0,0,59,0.0,0.0,0.0,0,59
2016-05,0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,3,0,0.0,0.0,0,39,0.0,0,0,0.0,1,0.0,0,0,0,39,0,0,0,0,39,0,0.0,0,0.0,39,0.0,0.0,0,0,39,0,0,0.0,0,39,0,0,0,0,39,0,0,0.0,0.0,39,0,0,0.0,0.0,13,0.0,0,0.0,0.0,39,0.0,0.0,0.0,0.0,10,0.0,0,0,0.0,39,0,0.0,0,0,39,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,1.0,0,0,0,0,39,0,0,0,0,39,0.0,0.0,0.0,0.0,39,0.0,0,0.0,0,7,0.0,0,0,0.0,6,0,0,0,0,39,0.0,0.0,0,0,39,0,0,0,0.0,39,0.0,0.0,0.0,0,39,0.0,0.0,0.0,0,39
2016-06,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,4,0,0.0,0.0,0,57,0.0,0,0,0.0,2,0.0,0,0,0,57,0,0,0,0,57,0,0.0,0,0.0,57,0.0,0.0,0,0,57,0,0,0.0,0,57,0,0,0,0,57,0,0,0.0,0.0,57,0,0,0.0,0.0,19,0.0,0,0.0,0.0,57,0.0,0.0,0.0,0.0,14,15.0,0,0,0.0,57,0,0.0,0,0,57,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,15,0.0,0.0,0.0,1.0,2,0.0,0,0.0,0,1.0,0,0,0,0,57,0,0,0,0,57,0.0,0.0,0.0,0.0,57,0.0,0,0.0,0,11,0.0,0,0,0.0,9,0,0,0,0,57,0.0,0.0,0,0,57,0,0,0,0.0,57,0.0,0.0,0.0,0,57,0.0,0.0,0.0,0,57
2016-07,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0,4,0,0.0,0.0,0,59,0.0,0,0,0.0,2,0.0,0,0,0,59,0,0,0,0,59,0,0.0,0,0.0,59,0.0,0.0,0,0,59,0,0,0.0,0,59,0,0,0,0,59,0,0,0.0,0.0,59,0,0,0.0,0.0,19,0.0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,15,0.0,0,0,0.0,59,0,0.0,0,0,59,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,2,0.0,0,0.0,0,1.0,0,0,0,0,59,0,0,0,0,59,0.0,0.0,0.0,0.0,59,0.0,0,0.0,0,11,0.0,0,0,0.0,9,0,0,0,0,59,0.0,0.0,0,0,59,0,0,0,0.0,59,0.0,0.0,0.0,0,59,0.0,0.0,0.0,0,59
2016-08,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,3,0,0.0,0.0,0,46,0.0,0,0,0.0,1,0.0,0,0,0,46,0,0,0,0,46,0,0.0,0,0.0,46,0.0,0.0,0,0,46,0,0,0.0,0,46,0,0,0,0,46,0,0,0.0,0.0,46,0,0,0.0,0.0,15,0.0,0,0.0,0.0,46,0.0,0.0,0.0,0.0,11,0.0,0,0,0.0,46,0,0.0,0,0,46,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,1.0,0,0,0,0,46,0,0,0,0,46,0.0,0.0,0.0,0.0,46,0.0,0,0.0,0,9,0.0,0,0,0.0,7,14,0,0,0,46,0.0,0.0,0,0,46,0,0,0,0.0,46,0.0,0.0,0.0,0,46,0.0,0.0,0.0,0,46
2016-09,0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,2,0,0.0,0.0,0,27,0.0,0,0,0.0,1,0.0,0,0,0,27,0,0,0,0,27,0,0.0,0,0.0,27,0.0,0.0,0,0,27,0,0,0.0,0,27,0,0,0,0,27,0,0,0.0,0.0,27,0,0,0.0,0.0,9,0.0,0,0.0,0.0,27,0.0,0.0,0.0,0.0,7,0.0,0,0,0.0,27,0,0.0,0,0,27,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,1.0,0,0,0,0,27,0,0,0,0,27,0.0,0.0,0.0,0.0,27,0.0,0,0.0,0,5,0.0,0,0,0.0,4,0,0,0,0,27,0.0,0.0,0,0,27,0,0,0,0.0,27,0.0,0.0,0.0,0,27,0.0,0.0,0.0,0,27
